Id,y
139653,1180134.6726190478
139654,746731.2388013874
139655,1406994.655270022
139656,1531958.7997999808
139657,1136182.955266955
139658,602669.9694769883
139659,1920340.4025275442
139660,970763.5970418468
139661,593058.937437786
139662,888411.5714285715
139663,1767745.728751804
139664,587904.6666666666
139665,2037630.0604950602
139666,1332565.8442460317
139667,961351.9303382592
139668,1521398.1681959503
139669,1099063.3764588793
139670,1614377.0065749083
139671,616704.0315656565
139672,1365542.8823624132
139673,721524.2658730159
139674,792999.8141420842
139675,624544.4884559884
139676,1148652.9354525295
139677,1059432.6611047497
139678,973705.0
139679,1153396.1223318344
139680,2104585.229587298
139681,1236400.9071583252
139682,500875.9047619048
139683,749202.1253318131
139684,1172472.8987509746
139685,769667.8629703628
139686,1373903.1092405533
139687,1507871.6666666665
139688,1365542.8823624132
139689,1331475.077852148
139690,962772.5149174358
139691,1875693.0477267834
139692,1413526.9712915241
139693,5072788.626984127
139694,477111.17857142864
139695,1651419.7828282828
139696,588285.0992068637
139697,800136.953831169
139698,788552.1124611858
139699,382498.3882380953
139700,404399.9166666666
139701,1661351.059217012
139702,2480326.67715257
139703,1383277.7680750273
139704,958370.107827614
139705,2923268.450971105
139706,1593160.2068265066
139707,793706.8028496188
139708,582299.9270041243
139709,633072.1672493726
139710,895247.166930963
139711,1349360.5353692202
139712,1024485.3906093905
139713,1341305.5174852256
139714,669786.2245612139
139715,1219986.3095238095
139716,1388436.2175477655
139717,1485605.939151316
139718,1286368.4444445164
139719,1459620.0119290364
139720,644506.653110427
139721,1168075.9759976645
139722,895247.166930963
139723,1708240.1150000002
139724,972914.3221041433
139725,632444.5049463606
139726,1375303.6473214286
139727,1204535.9075871937
139728,533362.5368285489
139729,435830.8243513737
139730,1580632.8976634538
139731,455135.76500395045
139732,1932279.69862885
139733,458143.5591289266
139734,478505.89126214216
139735,1074487.9550389808
139736,1020457.4078251282
139737,3637389.5425348943
139738,704720.0645355246
139739,951642.8834211944
139740,530198.3531746032
139741,1135037.1834942482
139742,1812359.8544176973
139743,1631669.3668831168
139744,597920.8497965224
139745,956347.0781290644
139746,624854.3364849803
139747,2012798.2142857146
139748,1236400.9071583252
139749,991980.5398430255
139750,2168324.595238095
139751,931309.2598178849
139752,1435341.2658730159
139753,1592997.6035175687
139754,3627630.0
139755,629574.1151546091
139756,2541521.1904761903
139757,1291930.5309135308
139758,1107328.9420176204
139759,1050355.6408452657
139760,1195640.833333333
139761,1092590.6428571427
139762,1069365.6434830923
139763,1485605.939151316
139764,866942.5123117685
139765,1128354.2410716508
139766,1085224.2253968252
139767,1502364.8688849043
139768,726537.9853956215
139769,1141087.6707138608
139770,879035.4761904762
139771,1178833.5500491073
139772,692359.130952381
139773,1223397.217362552
139774,796550.0000000001
139775,1078276.3769841273
139776,1931323.1875083891
139777,848486.640043709
139778,1510554.0790004765
139779,947847.5933326461
139780,1413686.3095238095
139781,1726450.5211137373
